Facility Code,Facility Description
9587,Agricultural Product Market
4581,Airport
7996,Amusement Park
9718,Animal Park
3578,ATM
5512,Auto Dealership-Used Cars
7538,Auto Service & Maintenance
8699,Automobile Club
5511,Auto Dealerships
6000,Bank
9532,Bar or Pub
9051,Bicycle Parking
9059,Bicycle Service
9050,Bicycle Sharing Location
9058,Bike Park
9057,BMX Track
9995,Bookstore
9999,Border Crossing
7933,Bowling Centre
4170,Bus Station
5000,Business Facility
9517,Campground
9056,Campsite
9714,Cargo Centre
7985,Casino
9591,Cemetery
7832,Cinema
9121,City Hall
7994,Civic/Community Centre
9537,Clothing Store
9996,Coffee Shop
4100,Commuter Rail Station
9987,Consumer Electronics Store
9535,Convenience Store
7990,Convention/Exhibition Centre
9994,County Council
9211,Court House
9722,Delivery Entrance
9545,Department Store
9723,Dock
9993,Embassy
9598,EV Charging Station
4482,Ferry Terminal
9527,Fire Department
7992,Golf Course
9573,Golf Practice Range
9525,Government Office
5400,Grocery Store
9998,Hamlet
8200,Higher Education
9592,Highway Exit
5999,Historical Monument
9986,Home Improvement & Hardware Store
9560,Home Specialty Store
8060,Hospital
7011,Hotel
7998,Ice Skating Rink
9991,Industrial Zone
8231,Library
9724,Loading Zone
9594,Lottery Booth
4493,Marina
9583,Medical Service
9725,Meeting Point
9715,Military Base
5571,Motorcycle Dealership
8410,Museum
9730,Named Intersection
4444,Named Place
9709,Neighbourhood
5813,Nightlife
9988,Office Supply & Service Store
7013,Other Accommodation
9053,Outdoor Service
7522,Park & Ride
7947,Park/Recreation Area
7521,Parking Garage/House
7520,Parking Lot
7929,Performing Arts
5540,Petrol/Gasoline Station
9565,Pharmacy
9992,Place of Worship
9221,Police Station
9530,Post Office
9589,Public Restroom
4580,Public Sports Airport
9054,Ranger Station
7510,Rental Car Agency
9595,Repair Services
9590,Residential Area/Building
7897,Rest Area
5800,Restaurant
9055,Running Track
8211,School
6512,Shopping
7014,Ski Lift
7012,Ski Resort
9567,Specialty Store
9568,Sporting Goods Store
7997,Sports Centre
7940,Sports Complex
9989,Taxi Stand
9597,Tea House
9717,Tollbooth
7999,Tourist Attraction
7389,Tourist Information
9052,Trailhead
4013,Train Station
9596,Training Centre/Institute
9593,Transportation Service
9719,Truck Dealership
9720,Truck Parking
9522,Truck Stop/Plaza
9710,Weigh Station
2084,Winery
